imo,canonical_name,operator,operator_group,vessel_segment,registry_decision,active_status,source_name,source_url,source_checked_at,notes
9370018,Fram,HX / Hurtigruten Expeditions,HX Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,HX official ships page + VesselFinder,https://www.travelhx.com/en-us/ships/,2026-07-07,Official fleet source https://www.travelhx.com/en-us/ships/ lists Fram; independent IMO identity source https://www.vesselfinder.com/vessels/details/9370018 confirms Fram and IMO 9370018; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9434060,Spitsbergen,HX / Hurtigruten Expeditions,HX Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,HX official ships page + VesselFinder,https://www.travelhx.com/en-us/ships/,2026-07-07,Official fleet source https://www.travelhx.com/en-us/ships/ lists Spitsbergen; independent IMO identity source https://www.vesselfinder.com/vessels/details/9434060 confirms Spitsbergen and IMO 9434060; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9813072,Roald Amundsen,HX / Hurtigruten Expeditions,HX Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,HX official ships page + VesselFinder,https://www.travelhx.com/en-us/ships/,2026-07-07,Official fleet source https://www.travelhx.com/en-us/ships/ lists Roald Amundsen; independent IMO identity source https://www.vesselfinder.com/vessels/details/9813072 confirms Roald Amundsen and IMO 9813072; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9813084,Fridtjof Nansen,HX / Hurtigruten Expeditions,HX Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,HX official ships page + VesselFinder,https://www.travelhx.com/en-us/ships/,2026-07-07,Official fleet source https://www.travelhx.com/en-us/ships/ lists Fridtjof Nansen; independent IMO identity source https://www.vesselfinder.com/vessels/details/9813084 confirms Fridtjof Nansen and IMO 9813084; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9895240,SH Minerva,Swan Hellenic,Swan Hellenic,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Swan Hellenic official ships page + VesselFinder,https://www.swanhellenic.com/ships/,2026-07-07,Official fleet source https://www.swanhellenic.com/ships/ lists SH Minerva; independent IMO identity source https://www.vesselfinder.com/vessels/details/9895240 confirms SH Minerva and IMO 9895240; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9895252,SH Vega,Swan Hellenic,Swan Hellenic,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Swan Hellenic official ships page + VesselFinder,https://www.swanhellenic.com/ships/,2026-07-07,Official fleet source https://www.swanhellenic.com/ships/ lists SH Vega; independent IMO identity source https://www.vesselfinder.com/vessels/details/9895252 confirms SH Vega and IMO 9895252; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9921740,SH Diana,Swan Hellenic,Swan Hellenic,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Swan Hellenic official ships page + VesselFinder,https://www.swanhellenic.com/ships/,2026-07-07,Official fleet source https://www.swanhellenic.com/ships/ lists SH Diana; independent IMO identity source https://www.vesselfinder.com/vessels/details/9921740 confirms SH Diana and IMO 9921740; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9834648,Greg Mortimer,Aurora Expeditions,Aurora Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Aurora official ships page + VesselFinder,https://www.aurora-expeditions.com/ships/,2026-07-07,Official fleet source https://www.aurora-expeditions.com/ships/ lists Greg Mortimer; independent IMO identity source https://www.vesselfinder.com/vessels/details/9834648 confirms Greg Mortimer and IMO 9834648; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9872327,Sylvia Earle,Aurora Expeditions,Aurora Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Aurora official ships page + VesselFinder,https://www.aurora-expeditions.com/ships/,2026-07-07,Official fleet source https://www.aurora-expeditions.com/ships/ lists Sylvia Earle; independent IMO identity source https://www.vesselfinder.com/vessels/details/9872327 confirms Sylvia Earle and IMO 9872327; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9992713,Douglas Mawson,Aurora Expeditions,Aurora Expeditions,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Aurora official ships page + VesselFinder,https://www.aurora-expeditions.com/ships/,2026-07-07,Official fleet source https://www.aurora-expeditions.com/ships/ lists Douglas Mawson; independent IMO identity source https://www.vesselfinder.com/vessels/details/9992713 confirms Douglas Mawson and IMO 9992713; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
9871531,World Navigator,Atlas Ocean Voyages,Mystic Invest Holding,EXPEDITION_CRUISE,ACCEPT,ACTIVE,Atlas official ships page + VesselFinder,https://atlasoceanvoyages.com/ships/,2026-07-07,Official fleet source https://atlasoceanvoyages.com/ships/ lists World Navigator; independent IMO identity source https://www.vesselfinder.com/vessels/details/9871531 confirms World Navigator and IMO 9871531; source checked 2026-07-07; proposal-only READY_FOR_REGISTRY_IMPORT.
