imo,canonical_name,operator,operator_group,vessel_segment,registry_decision,active_status,source_name,source_url,source_checked_at,notes
9102978,Grandeur of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Grandeur of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9102978 confirms GRANDEUR OF THE SEAS and IMO 9102978.
9111802,Enchantment of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Enchantment of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9111802 confirms ENCHANTMENT OF THE SEAS and IMO 9111802.
9116864,Rhapsody of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Rhapsody of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9116864 confirms RHAPSODY OF THE SEAS and IMO 9116864.
9116876,Vision of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Vision of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9116876 confirms VISION OF THE SEAS and IMO 9116876.
9161716,Voyager of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Voyager of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9161716 confirms VOYAGER OF THE SEAS and IMO 9161716.
9161728,Explorer of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Explorer of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9161728 confirms EXPLORER OF THE SEAS and IMO 9161728.
9167227,Adventure of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Adventure of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9167227 confirms ADVENTURE OF THE SEAS and IMO 9167227.
9227508,Navigator of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Navigator of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9227508 confirms NAVIGATOR OF THE SEAS and IMO 9227508.
9227510,Mariner of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Mariner of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9227510 confirms MARINER OF THE SEAS and IMO 9227510.
9195195,Radiance of the Seas,Royal Caribbean International,Royal Caribbean Group,OCEAN_CRUISE,ACCEPT,ACTIVE,Royal Caribbean fleet page + VesselFinder,https://www.royalcaribbean.com/cruise-ships,2026-07-02,Official fleet source https://www.royalcaribbean.com/cruise-ships lists Radiance of the Seas; IMO identity source https://www.vesselfinder.com/vessels/details/9195195 confirms RADIANCE OF THE SEAS and IMO 9195195.
